,unemp,cpi,ffrate,tbill,tbond,gbpusd,gdpjp
1,3.933333397,27.77666664,2.960000038,3.079999924,3.420000076,279.3046875,10149
2,4.099999905,28.01333427,3,3.289999962,3.650000095,279.0237122,10904
3,4.233333111,28.26333427,3.470000029,3.529999971,4.070000172,278.5087891,11231
4,4.933333397,28.39999962,2.980000019,3.039999962,3.180000067,280.5795898,11075
5,6.300000191,28.73666573,1.200000048,1.299999952,1.840000033,281.5397949,10973
6,7.366666794,28.93000031,0.930000007,0.829999983,1.230000019,281.1111145,11325.2998
7,7.333333492,28.91333389,1.75999999,2.440000057,3.049999952,280.3283997,11734.09961
8,6.366666794,28.94333267,2.420000076,2.769999981,3.289999962,280.3799133,12080.09961
9,5.833333492,28.99333382,2.799999952,2.799999952,3.609999895,281.270813,12223
10,5.099999905,29.04333305,3.390000105,3.210000038,4.070000172,281.2536926,12869
11,5.266666889,29.19333267,3.75999999,4.039999962,5,280.3703918,13680
12,5.599999905,29.37000084,3.99000001,4.489999771,5.139999866,279.8445129,13819
13,5.133333206,29.39666748,3.839999914,3.309999943,4.019999981,280.5856934,15162
14,5.233333111,29.57333374,3.319999933,2.460000038,3.359999895,280.2676086,15364
15,5.533333302,29.59000015,2.599999905,2.480000019,3.069999933,281.2715149,16239
16,6.266666889,29.78000069,1.980000019,2.25,2.859999895,280.7370911,17026
17,6.800000191,29.84000015,2.019999981,2.390000105,2.880000114,279.75,17959
18,7,29.82999992,1.730000019,2.329999924,3.059999943,278.980011,18695
19,6.766666889,29.94666672,1.879999995,2.279999971,3.059999943,281.2200012,19424
20,6.199999809,29.98999977,2.329999924,2.599999905,3.180000067,280.9599915,20900
21,5.633333206,30.10666656,2.849999905,2.720000029,3.059999943,281.5297852,21428
22,5.533333302,30.21999931,2.680000067,2.730000019,3.029999971,280.8301086,21769
23,5.566666603,30.30666733,2.900000095,2.779999971,3.059999943,280.0900879,21907
24,5.533333302,30.37999916,2.930000067,2.869999886,3.00999999,280.3301086,22412
25,5.766666889,30.4766674,2.980000019,2.890000105,3.029999971,280.0600891,23150
26,5.733333111,30.53333282,2.99000001,2.99000001,3.200000048,280.0198059,24488
27,5.5,30.71999931,3.480000019,3.380000114,3.569999933,279.7698059,25571
28,5.566666603,30.80333328,3.380000114,3.519999981,3.809999943,279.6496887,26867
29,5.466666698,30.93000031,3.430000067,3.539999962,3.910000086,279.8100891,27933
30,5.199999809,30.97999954,3.5,3.480000019,3.829999924,279.4197083,29237
31,5,31.04999924,3.450000048,3.529999971,3.839999914,278.3400879,29905
32,4.966666698,31.19333267,3.849999905,3.839999914,4.019999981,279.0600891,30721
33,4.900000095,31.29000092,4.039999962,3.930000067,4.059999943,279.2399902,31699
34,4.666666508,31.48999977,4.039999962,3.799999952,3.99000001,279.230011,32437
35,4.366666794,31.58333397,4.010000229,3.920000076,4.199999809,279.6697083,33475
36,4.099999905,31.75,4.320000172,4.380000114,4.71999979,280.2099915,33558
37,3.866666555,32.04666519,4.650000095,4.590000153,4.96999979,279.5198059,35539.19922
38,3.833333254,32.33666611,5.170000076,4.5,4.96999979,278.980011,37753.5
39,3.766666651,32.61666489,5.400000095,5.369999886,5.820000172,278.9296875,39148.69922
40,3.700000048,32.88333511,5.400000095,4.960000038,5.199999809,279.0097961,40025.60156
41,3.833333254,32.96666718,4.53000021,4.260000229,4.349999905,279.6271973,42074
42,3.833333254,33.16666794,3.980000019,3.539999962,4.480000019,279.1171875,43295
43,3.799999952,33.5,3.99000001,4.420000076,5.239999771,278.3693848,45546
44,3.900000095,33.86666489,4.510000229,4.96999979,5.710000038,240.6298065,47540
45,3.733333349,34.20000076,5.050000191,5.170000076,5.579999924,239.9718018,49302.60156
46,3.566666603,34.53333282,6.070000172,5.519999981,5.980000019,238.4620056,51317.60156
47,3.533333302,35,5.78000021,5.190000057,5.449999809,238.739502,53237.10156
48,3.400000095,35.43333435,6.019999981,5.960000038,6.190000057,238.4156952,57507.60156
49,3.400000095,35.86666489,6.789999962,6.019999981,6.340000153,239.167099,57632
50,3.433333397,36.43333435,8.899999619,6.440000057,7.039999962,238.9499969,60612.39844
51,3.566666603,36.93333435,9.149999619,7.090000153,7.820000172,238.3999939,63086.89844
52,3.566666603,37.5,8.970000267,7.820000172,8.170000076,239.7299957,66786
53,4.166666508,38.09999847,7.760000229,6.630000114,6.96999979,240.5800018,69527
54,4.766666889,38.63333511,7.599999905,6.679999828,7.550000191,239.7700043,71738
55,5.166666508,39.03333282,6.289999962,6.119999886,6.730000019,238.5299988,74777
56,5.833333492,39.59999847,4.900000095,4.869999886,5,239.0599976,76524
57,5.933333397,39.93333435,3.710000038,3.380000114,3.690000057,241.8699951,77842
58,5.900000095,40.29999924,4.909999847,4.75,5.639999866,241.8699951,79555
59,6.033333302,40.70000076,5.550000191,4.690000057,5.409999847,246.9400024,81698
60,5.933333397,41,4.139999866,4.010000229,4.599999905,252.6600037,83062
61,5.766666889,41.33333206,3.829999924,3.730000019,4.670000076,261.8099976,87117
62,5.699999809,41.59999847,4.460000038,3.910000086,4.929999828,256.9100037,89731
63,5.566666603,41.93333435,4.869999886,4.659999847,5.519999981,244.1000061,93788
64,5.366666794,42.36666489,5.329999924,5.070000172,5.519999981,234.4799957,97757
65,4.933333397,43.03333282,7.090000153,6.090000153,6.849999905,247.2400055,104568
66,4.933333397,43.93333435,8.489999771,7.190000057,7.309999943,257.6199951,109319
67,4.800000191,44.79999924,10.77999973,8.289999962,8.31000042,241.8300018,113518
68,4.766666889,45.93333435,9.949999809,7.449999809,7.269999981,231.7400055,120420
69,5.133333206,47.29999924,9.350000381,7.960000038,7.760000229,234.0599976,123283
70,5.199999809,48.56666565,11.93000031,7.900000095,8.670000076,239.0200043,131736
71,5.633333206,49.93333435,11.34000015,8.06000042,8.869999886,231.6499939,137890
72,6.599999905,51.46666718,8.529999733,7.150000095,7.309999943,232.9400024,141613
73,8.266666412,52.56666565,5.539999962,5.489999771,6.110000134,241.8000031,141887
74,8.866666794,53.20000076,5.550000191,5.340000153,6.289999962,228.0299988,146444
75,8.466666222,54.26666641,6.239999771,6.420000076,7.75,208.3500061,149751
76,8.300000191,55.26666641,5.199999809,5.440000057,6.599999905,202.2100067,154088
77,7.733333111,55.90000153,4.840000153,5,6.210000038,194.2799988,159302
78,7.566666603,56.40000153,5.480000019,5.409999847,6.519999981,176.3999939,164546
79,7.733333111,57.29999924,5.25,5.079999924,5.840000153,172.7200012,169524
80,7.766666889,58.13333511,4.650000095,4.349999905,4.889999866,167.8399963,172022
81,7.5,59.20000076,4.690000057,4.599999905,5.5,171.740799,179402
82,7.133333206,60.23333359,5.389999866,5.019999981,5.800000191,171.9140015,183207
83,6.900000095,61.06666565,6.139999866,5.809999943,6.53000021,174.3139038,187162
84,6.666666508,61.96666718,6.559999943,6.070000172,6.960000038,185.4575043,191997
85,6.333333492,63.03333282,6.789999962,6.289999962,7.309999943,190.5467072,197835
86,6,64.46666718,7.599999905,6.730000019,8.090000153,183.7243958,201639
87,6.033333302,65.96666718,8.449999809,7.849999905,8.640000343,195.9499969,206879
88,5.900000095,67.5,10.02999973,9.079999924,10.30000019,198.6109009,210785
89,5.866666794,69.19999695,10.09000015,9.479999542,10.25,203.7799988,215043
90,5.699999809,71.40000153,10.28999996,9.06000042,9.569999695,211.1900024,219875
91,5.866666794,73.69999695,11.43000031,10.26000023,10.84000015,219.6600037,223217
92,5.966666698,76.03333282,13.77999973,12.03999996,11.97999954,220.0700073,226526
93,6.300000191,79.03333282,17.19000053,15.19999981,15.81999969,220.4510956,231999.7969
94,7.333333492,81.69999695,9.470000267,7.070000172,8.159999847,233.5942993,236053
95,7.666666508,83.23332977,10.86999989,10.27000046,11.52000046,240.1233063,243962.9063
96,7.400000095,85.56666565,18.89999962,15.48999977,14.88000011,234.5937042,249946
97,7.433333397,87.93333435,14.69999981,13.35999966,13.71000004,223.1900024,254559.9063
98,7.400000095,89.76667023,19.10000038,14.72999954,14.85999966,197.3800049,255595.5938
99,7.400000095,92.26667023,15.86999989,14.69999981,16.52000046,181.4600067,261035.2031
100,8.233333588,93.76667023,12.36999989,10.85000038,12.85000038,190.332901,264012.1875
101,8.833333015,94.59999847,14.68000031,12.68000031,13.94999981,180.5,267124.9063
102,9.433333397,95.96666718,14.14999962,12.47000027,14.06999969,175.6300049,271720.5938
103,9.899999619,97.6333313,10.31000042,7.920000076,10.85000038,171.1999969,273228.8125
104,10.66666698,97.93333435,8.949999809,7.940000057,8.909999847,161.6000061,275198.5938
105,10.36666679,98,8.770000458,8.350000381,9.039999962,149,278451.1875
106,10.13333321,99.1333313,8.979999542,8.789999962,9.659999847,154.8000031,281202.3125
107,9.366666794,100.0999985,9.449999809,9,10.15999985,149.8600006,285152.1875
108,8.533333778,101.0999985,9.470000267,9,10.10999966,143.3800049,286365.6875
109,7.866666794,102.5333328,9.909999847,9.520000458,10.59000015,145.5700073,292292.9063
110,7.433333397,103.5,11.06000042,9.869999886,12.07999992,137.6999969,298527.8125
111,7.433333397,104.4000015,11.30000019,10.36999989,11.57999992,125.6299973,303875.6875
112,7.300000191,105.3000031,8.380000114,8.06000042,9.329999924,118.6100006,308001.5938
113,7.233333111,106.2666702,8.579999924,8.520000458,9.859999657,112.5299988,316702.1875
114,7.300000191,107.2333298,7.53000021,6.949999809,7.800000191,128.0800018,320064.1875
115,7.199999809,107.9000015,7.920000076,7.099999905,8.069999695,136.4199982,324477.1875
116,7.033333302,109,8.270000458,7.099999905,7.670000076,144.4700012,332086.5
117,7.033333302,109.5666656,7.480000019,6.559999943,7.03000021,146.7400055,332099
118,7.166666508,109.0333328,6.920000076,6.210000038,6.730000019,150.8500061,337871.4063
119,6.966666698,109.6999969,5.889999866,5.210000038,5.769999981,146.9799957,341120.6875
120,6.833333492,110.4666672,6.909999847,5.53000021,5.869999886,143.9299927,343613.9063
121,6.599999905,111.8000031,6.130000114,5.590000153,6.03000021,159.2299957,344760.4063
122,6.266666889,113.0666656,6.730000019,5.670000076,6.800000191,162.8800049,346317.4063
123,6,114.2666702,7.21999979,6.400000095,7.670000076,164.4600067,355160.3125
124,5.833333492,115.3333359,6.769999981,5.769999981,7.170000076,182.8800049,363021.3125
125,5.699999809,116.2333298,6.579999924,5.699999809,6.710000038,183.3000031,371485.5938
126,5.466666698,117.5666656,7.510000229,6.460000038,7.489999771,177.6799927,373538.8125
127,5.466666698,119,8.18999958,7.239999771,8.090000153,168.3999939,382391.5
128,5.333333492,120.3000031,8.760000229,8.069999695,8.989999771,182.5800018,389289.1875
129,5.199999809,121.6666641,9.850000381,8.819999695,9.569999695,171.3399963,400800
130,5.233333111,123.6333313,9.529999733,8.149999619,8.43999958,155.3000031,400100.6875
131,5.233333111,124.5999985,9.020000458,7.75,8.220000267,157.1499939,410036.4063
132,5.366666794,125.8666687,8.449999809,7.630000114,7.71999979,159.6499939,422579.0938
133,5.300000191,128.0333405,8.279999733,7.900000095,8.350000381,162.4499969,424834.1875
134,5.333333492,129.3000031,8.289999962,7.730000019,8.100000381,171.0299988,439094.6875
135,5.699999809,131.5333405,8.199999809,7.360000134,7.760000229,187.9400024,446521.1875
136,6.133333206,133.7666626,7.309999943,6.739999771,7.050000191,192.1900024,450219.8125
137,6.599999905,134.7666626,6.119999886,5.909999847,6.400000095,182.1399994,462847.1875
138,6.833333492,135.5666656,5.900000095,5.570000172,6.360000134,164.9700012,465150.0938
139,6.866666794,136.6000061,5.449999809,5.21999979,5.570000172,172.6499939,469224.0938
140,7.099999905,137.7333374,4.429999828,4.070000172,4.380000114,182.7200012,475944.4063
141,7.366666794,138.6666718,3.980000019,4.039999962,4.630000114,172.3800049,477201.0938
142,7.599999905,139.7333374,3.75999999,3.660000086,4.170000076,185.5099945,481668.4063
143,7.633333206,140.8000031,3.220000029,2.910000086,3.180000067,184.6499939,482419.6875
144,7.366666794,142.0333405,2.920000076,3.220000029,3.710000038,155.1000061,480767.8125
145,7.133333206,143.0666656,3.069999933,2.950000048,3.329999924,146.1699982,489538.8125
146,7.066666603,144.1000061,3.039999962,3.069999933,3.539999962,150.8200073,483332.5
147,6.800000191,144.7666626,3.089999914,2.950000048,3.359999895,152.4799957,482328.0938
148,6.633333206,145.9666595,2.960000038,3.059999943,3.609999895,149.1300049,481369.6875
149,6.566666603,146.6999969,3.339999914,3.5,4.320000172,149.1900024,486649
150,6.199999809,147.5333405,4.25,4.139999866,5.269999981,152.6199951,489262
151,6,148.8999939,4.730000019,4.619999886,5.760000229,156.6100006,492229
152,5.633333206,149.7666626,5.449999809,5.599999905,7.139999866,155.8699951,491944
153,5.466666698,150.8666687,5.980000019,5.730000019,6.429999828,160.0200043,492390
154,5.666666508,152.1000061,6,5.46999979,5.639999866,159.4799957,493974
155,5.666666508,152.8666687,5.800000191,5.28000021,5.619999886,155.8999939,499014
156,5.566666603,153.6999969,5.599999905,5.139999866,5.309999943,154.0500031,501389
157,5.533333302,155.0666656,5.309999943,4.960000038,5.340000153,152.7100067,503903
158,5.5,156.3999939,5.269999981,5.090000153,5.809999943,154.1600037,509525
159,5.266666889,157.3000031,5.300000191,5.090000153,5.829999924,155.9299927,510978
160,5.333333492,158.6666718,5.289999962,4.909999847,5.46999979,166.3899994,517045
161,5.233333111,159.6333313,5.389999866,5.139999866,5.800000191,160.9600067,520537
162,5,160,5.559999943,4.929999828,5.690000057,164.4900055,520930
163,4.866666794,160.8000031,5.539999962,4.949999809,5.519999981,160.1300049,519672
164,4.666666508,161.6666718,5.5,5.159999847,5.53000021,165.9700012,523638
165,4.633333206,162,5.489999771,5.03000021,5.389999866,166.1900024,517862
166,4.400000095,162.5333405,5.559999943,4.980000019,5.409999847,165.0399933,511371
167,4.533333302,163.3666687,5.510000229,4.610000134,4.710000038,168.2299957,513628
168,4.433333397,164.1333313,4.679999828,4.389999866,4.519999981,167.0800018,515037
169,4.300000191,164.7333374,4.809999943,4.440000057,4.78000021,162.1300049,508639
170,4.266666889,165.9666595,4.760000229,4.570000172,5.099999905,159.5,509767
171,4.233333111,167.1999969,5.21999979,4.679999828,5.25,162.4700012,506001
172,4.066666603,168.4333344,5.300000191,5.199999809,5.840000153,161.3200073,506428
173,4.033333302,170.1000061,5.849999905,5.690000057,6.21999979,157.9900055,509212
174,3.933333397,171.4333344,6.53000021,5.690000057,6.170000076,150.9244995,510965
175,4,173,6.519999981,6,6.130000114,143.3549957,511652
176,3.900000095,174.2333374,6.400000095,5.769999981,5.599999905,146.2915039,514879
177,4.233333111,175.8999939,5.309999943,4.420000076,4.300000191,144.4459076,516339
178,4.400000095,177.2666626,3.970000029,3.49000001,3.579999924,140.201004,507542
179,4.833333492,177.6666718,3.069999933,2.640000105,2.819999933,146.3811035,502521
180,5.533333302,177.4333344,1.820000052,1.690000057,2.220000029,144.1264954,497700
181,5.699999809,178.0666656,1.730000019,1.789999962,2.569999933,142.3023987,497409
182,5.833333492,179.5,1.75,1.700000048,2.200000048,148.3684998,497511
183,5.733333111,180.4333344,1.75,1.629999995,1.720000029,155.6300049,500751
184,5.866666794,181.3666687,1.24000001,1.190000057,1.450000048,158.6300049,498534
185,5.833333492,183.2333374,1.25,1.129999995,1.24000001,158.25,494468
186,6.133333206,183.3999939,1.220000029,0.920000017,1.00999999,166.0876007,497335
187,6.133333206,184.3999939,1.00999999,0.939999998,1.24000001,161.5500031,498889
188,5.866666794,184.8000031,0.980000019,0.899999976,1.309999943,175.1600037,502022
189,5.666666508,186.5666656,1,0.939999998,1.190000057,182.6100006,507510
190,5.566666603,188.6000061,1.029999971,1.269999981,2.119999886,182.7908936,505843
191,5.433333397,189.3666687,1.610000014,1.649999976,2.119999886,179.3699951,504948.9063
192,5.433333397,191.0333405,2.160000086,2.190000057,2.670000076,192.921402,505073.6875
193,5.266666889,192.1666718,2.630000114,2.74000001,3.299999952,190.4299927,508505.5
