,Year,Number.thousands,quintile1,quintile2,median,quintile3,quintile4,p95,P90,P95,P99,P99.5,P99.9,P99.99,realGDP.M,GDP.Deflator,PopulationK,realGDPperCap,P95IRSvsCensus,personsPerFamily,realGDPperFamily,mean.median
35,1947,37237,14243,22984,26764.14288,31166,44223,72583,41477,54172,134415,203001,479022,1584506,2034673.76,12.9,144126,14117.32388,0.746345563,3.870505143,54641.17468,2.04158134
36,1948,38624,13779,22655,26177.63244,30248,42196,68714,43459,58911,136814,210991,504131,1687123,2119101.8,13.63,146631,14451.93824,0.857336205,3.796370133,54864.90671,2.095869702
37,1949,39303,13007,22221,25809.27967,29977,42361,67996,43923,58971,130037,197117,467824,1539131,2107550.7,13.62,149188,14126.80628,0.867271604,3.795842557,53623.13247,2.077668698
38,1950,39929,13829,23779,27432.3534,31647,43986,71728,48465,61084,147986,230773,565506,1582089,2291213.19,13.75,151684,15105.17395,0.851606067,3.798842946,57382.18352,2.091770352
39,1951,40578,15070,24569,28258.04432,32501,44376,69547,48655,61967,148725,222276,530408,1780264,2475820.77,14.68,154287,16046.85113,0.891008958,3.802232737,61013.86268,2.159167916
40,1952,40832,15557,25165,29270.59258,34046,46049,71646,51928,65318,144459,218713,497284,1559300,2576630.37,15,156954,16416.46532,0.911676856,3.843896944,63103.20088,2.155856623
41,1953,41202,16100,27322,31649.74701,36663,49376,76788,53287,66868,142592,211860,465173,1400826,2697601.89,15.19,159565,16905.97994,0.870813148,3.872748896,65472.61514,2.068661564
42,1954,41951,15010,26402,30719.05409,35742,48969,77601,53441,68546,150457,222702,519497,1652847,2682375.44,15.35,162391,16518.00999,0.883313359,3.870968511,63940.69655,2.081466974
43,1955,42889,16643,28325,32842.72104,38081,51577,79467,58502,75494,162683,242823,572363,1892250,2873493.64,15.57,165275,17386.13817,0.950004404,3.853552193,66998.39085,2.039976858
44,1956,43497,17989,30274,34868.81291,40161,54454,84396,60261,77500,163383,246756,585061,1826274,2934714.47,16.1,168221,17445.58433,0.918289966,3.867416144,67469.33446,1.934947847
45,1957,43696,17774,30248,34768.24804,39964,53616,82114,61025,78394,160721,237669,549328,1665049,2996460.35,16.66,171274,17495.12804,0.954697128,3.919672281,68575.16845,1.972350415
46,1958,44232,17590,29834,34445.14982,39769,54230,83431,60928,79375,158115,233363,537411,1675370,2974513.26,17.05,174141,17081.06311,0.951384977,3.936991319,67247.99719,1.952321228
47,1959,45111,18460,31479,36331.92683,41933,57786,88265,64107,87316,172888,271542,614121,1912328,3179807.81,17.28,177130,17951.82704,0.989248286,3.926536765,70488.50885,1.940125807
48,1960,45539,18889,32567,37499.039,43178,59705,91838,65660,79364,169120,245965,563090,1891806,3261400.58,17.52,180760,18042.71319,0.864173871,3.969344957,71617.75261,1.90985568
49,1961,46418,18808,32377,37771.15471,44064,60689,98070,66926,87237,175510,256348,618948,2241772,3344673.51,17.71,183742,18203.09496,0.889538085,3.958421302,72055.51887,1.907686419
50,1962,47059,19953,33254,38780.73496,45226,63183,99098,70001,88701,176411,257882,589275,1920891,3549232.99,17.93,186590,19021.56391,0.895083655,3.965022631,75420.93136,1.944804075
51,1963,47540,20311,34114,39957.09341,46801,65400,99349,72571,92712,182765,264519,599739,1915864,3703807.71,18.13,189300,19565.80973,0.9331951,3.981909971,77909.29286,1.949823829
52,1964,47956,21035,35597,41568.18467,48541,66023,102183,76647,95646,206479,288826,618471,2253818,3917398.05,18.41,191927,20410.87771,0.936026541,4.002147802,81687.34936,1.965141129
53,1965,48509,22310,37372,43408.91167,50421,68842,106419,80846,100799,220766,307043,643220,2589695,4171942.29,18.74,194347,21466.45923,0.947189882,4.006411181,86003.46228,1.981239773
54,1966,49214,24391,39658,45879.92289,53078,72151,111574,81537,103868,211942,306952,669669,2460505,4447068.49,19.27,196599,22619.99408,0.93093373,3.994777909,90361.85265,1.969529305
55,1967,50111,24698,40542,46948.34304,54367,74533,119757,83850,108772,228042,327355,741280,2835653,4569195.12,19.83,198752,22989.42976,0.908272585,3.966234958,91181.47999,1.942166093
56,1968,50823,26282,42222,49318.17874,57607,77504,119090,87537,113601,240601,347067,822299,3247135,4793391.47,20.67,200745,23878.01388,0.953908808,3.949884895,94315.40634,1.912386239
57,1969,51586,27685,44296,51467.04289,59799,81675,125705,88831,113510,226805,325093,727964,3005144,4943765.79,21.69,202736,24385.24368,0.902987152,3.930058543,95835.43526,1.862073861
58,1970,52227,26913,43905,51164.78892,59625,81957,127967,88450,112141,214726,299235,625572,2113010,4954056.77,22.84,205089,24155.63932,0.876327491,3.926876903,94856.22211,1.85393557
59,1971,53296,26344,43619,51066.67733,59786,81990,128030,89763,114953,222489,308895,656323,2322711,5117137.3,24,207692,24638.10776,0.897859877,3.896952867,96013.54468,1.880160404
60,1972,54373,27545,45647,53666.96481,63096,87171,136627,94439,120830,235328,332098,713071,2546847,5385752.88,25.04,209924,25655.72817,0.884378637,3.860813271,99051.9758,1.845678736
61,1973,55053,28089,46349,54747.57649,64668,88933,138645,95902,123518,240363,328392,685448,2278492,5689651.82,26.4,211939,26845.70149,0.89089401,3.849726627,103348.6118,1.887729439
62,1974,55698,28164,46015,53976.71479,63316,87462,137374,92992,120569,226613,314586,681786,2131758,5660249.02,28.76,213898,26462.37299,0.877669719,3.840317426,101623.9121,1.882736148
63,1975,56245,27112,44643,52646.56356,62085,85961,134647,89924,114443,213587,293415,592124,1848829,5649012.95,31.44,215981,26155.13473,0.849948384,3.840003556,100435.8104,1.907737249
64,1976,56710,27537,45861,54088.91544,63793,88105,138476,92568,117966,219046,298829,611948,1924541,5953331.93,33.16,218086,27298.09507,0.851887692,3.84563569,104978.5287,1.940851057
65,1977,57215,27611,46238,54977.55744,65369,90067,142715,93591,119687,222475,304187,630465,2056801,6227723.06,35.21,220289,28270.69769,0.83864345,3.850196627,108847.7449,1.979857781
66,1978,57804,28449,47802,56560.17367,66923,93021,147477,95296,121481,225622,309660,645419,2018698,6574046.04,37.69,222629,29529.15853,0.823728446,3.851446267,113729.9674,2.010778256
67,1979,59550,29066,47795,56888.02374,67711,93237,149576,95273,122252,231318,325904,729144,2906708,6782805.92,40.8,225106,30131.6114,0.817323635,3.780117548,113901.033,2.002197045
